carimbo;tcle;ra;curso;item_1;item_2;item_3;item_4;item_5;item_6;item_7;item_8;item_9;item_10;item_11;item_12;item_13;item_14;item_15;item_16;item_17;item_18;item_19;item_20;item_21;item_22;item_23;item_24;item_25;item_26;item_27;item_28;item_29;item_30;item_31;item_32;item_33;item_34;item_35;item_36;item_37;item_38;item_39;item_40;item_41;item_42;item_43;item_44;item_45;item_46;item_47;item_48;item_49;item_50;item_51;item_52;item_53;item_54;item_55;item_56;item_57;item_58;item_59;escore_autoregulacao_aprendizagem;escore_metacognicao
11/04/2023 09:52;Sim;1635259017;Direito;5;4;4;4;4;3;4;3;4;5;3;4;5;3;2;3;2;4;3;4;4;4;3;5;3;4;4;4;4;1;4;4;4;4;4;4;4;4;4;3;2;4;3;4;4;3;2;3;2;3;3;4;3;5;3;4;5;4;2;3.75;3.636363636
11/04/2023 19:48;Sim;1645283455;Psicologia;5;5;4;5;3;1;3;3;5;4;1;3;4;4;2;3;2;4;4;3;4;3;2;4;2;2;3;4;5;2;4;4;4;5;4;4;3;1;5;2;3;5;1;4;1;4;4;1;4;4;4;4;3;3;3;4;4;3;5;3.375;3.272727273
11/04/2023 20:02;Sim;2703622121;Educação física;2;2;4;4;2;1;1;2;3;4;2;3;3;4;4;3;2;2;3;2;4;2;2;2;2;2;3;1;2;3;1;2;2;4;2;4;2;1;1;1;1;2;4;3;1;2;4;1;3;5;3;3;3;2;4;2;3;2;4;2.5;2
11/04/2023 20:32;Sim;2523632811;Educação física;5;5;5;5;3;3;5;3;5;5;5;5;5;2;2;3;1;4;2;5;5;4;3;5;2;5;3;3;3;5;5;5;3;5;3;5;5;1;5;3;2;5;4;5;1;5;5;2;3;5;5;3;3;5;5;5;5;5;5;4.2;3.818181818
11/04/2023 20:40;Sim;163631805;Psicologia;5;4;5;5;5;4;5;4;5;4;3;4;3;3;2;3;2;4;4;4;4;4;4;4;4;3;3;3;4;3;4;4;4;5;5;5;4;3;4;3;3;5;4;4;2;4;3;4;4;5;4;4;3;4;4;4;3;4;5;4;3.636363636
11/04/2023 20:52;Sim;163634079;Psicologia;4;4;4;4;4;2;3;3;4;3;3;3;3;3;3;4;2;4;2;3;4;4;4;4;3;2;4;4;3;3;3;3;3;5;3;4;4;2;3;2;2;4;3;3;3;4;4;4;4;4;4;4;3;4;3;4;3;4;3;3.5;3.272727273
11/04/2023 21:45;Sim;1645255875;Psicologia;5;4;4;5;5;4;4;2;3;4;1;3;3;4;2;2;2;2;1;3;5;4;2;4;2;4;5;3;4;4;4;3;2;3;1;3;2;1;3;2;3;5;1;2;2;3;1;4;2;2;4;4;3;3;3;3;3;2;3;2.975;3.363636364
11/04/2023 23:06;Sim;25245235235;Gastronomia;4;5;5;5;4;4;5;3;5;5;4;2;2;4;4;2;3;3;4;1;3;2;2;4;5;4;4;2;4;4;5;3;3;5;5;4;3;2;4;1;2;4;4;3;1;3;4;4;2;2;4;3;3;4;4;3;3;5;5;3.375;3.636363636
11/04/2023 23:13;Sim;25245235087;Gastronomia;4;4;5;3;5;5;5;4;5;5;5;4;5;3;2;5;3;5;5;5;5;5;5;5;3;5;5;4;5;5;5;5;5;5;4;5;5;3;5;5;4;5;5;5;4;NA;4;5;5;4;4;5;5;5;3;5;5;5;5;4.666666667;4.727272727
11/04/2023 23:14;Sim;2143634079;gastronômia;4;4;3;4;4;4;5;4;4;5;4;4;4;2;1;4;1;5;3;4;4;4;5;4;2;3;4;5;4;5;5;3;4;2;2;3;4;3;4;3;4;5;3;3;3;3;4;4;4;4;4;4;4;4;4;4;4;5;5;3.875;4
11/04/2023 23:17;Sim;2563635513;Gastronomia;4;5;3;4;4;4;4;2;4;5;2;3;4;3;3;3;2;4;4;4;4;4;4;3;2;4;2;3;3;1;3;4;4;5;3;3;2;2;4;2;2;4;1;3;1;5;1;3;2;4;3;3;3;3;5;4;3;2;5;3.2;3
11/04/2023 23:17;Sim;2563626839;Gastronomia;2;2;3;4;3;3;5;3;4;5;3;4;3;4;2;4;2;4;4;3;4;3;4;5;2;3;5;4;3;3;3;4;4;3;4;4;4;3;3;3;1;2;3;2;4;3;2;3;2;4;4;5;4;4;5;4;5;3;5;3.425;3.636363636
11/04/2023 23:19;Sim;2523629443;Gastronomia;4;5;3;5;4;1;1;2;4;4;2;4;4;3;2;3;2;4;4;4;4;4;4;4;2;3;3;3;4;4;4;3;3;3;3;3;4;1;4;2;3;4;1;1;2;4;2;2;3;4;3;4;3;4;4;4;4;3;5;3.175;3.363636364
11/04/2023 23:19;Sim;0;Gastronomia;NA;4;2;4;3;2;NA;3;3;NA;2;NA;3;2;4;NA;NA;3;4;5;4;3;NA;5;1;NA;3;NA;3;NA;3;3;4;NA;2;NA;NA;NA;1;NA;3;3;2;2;2;NA;1;3;1;1;NA;NA;NA;3;NA;3;NA;NA;5;2.6;3.142857143
11/04/2023 23:25;Sim;25645272587;Gastronomia;3;3;5;5;5;5;5;3;4;5;3;5;5;2;4;3;1;5;4;5;5;5;3;5;2;4;2;4;5;5;5;3;4;3;5;4;4;3;3;4;3;4;3;3;2;5;2;3;5;4;5;5;5;5;3;5;5;4;3;4.175;3.818181818
11/04/2023 23:26;Sim;25245234297;Gastronomia;4;5;5;4;4;5;5;4;4;4;2;3;3;2;4;5;1;5;4;4;3;3;5;3;3;4;5;3;4;5;5;3;3;3;4;3;3;2;3;3;2;5;3;4;3;5;4;3;2;4;4;4;2;4;4;3;4;3;3;3.675;3.909090909
12/04/2023 00:35;Sim;25845236781;Psicologia;5;5;5;5;5;5;5;5;5;5;3;3;5;2;1;3;1;5;5;5;5;5;5;5;5;5;5;5;5;5;5;1;5;5;5;5;5;3;5;5;3;5;5;5;5;5;5;5;5;5;5;5;5;5;2;2;5;5;5;4.725;4.636363636
12/04/2023 00:52;Sim;2563637773;Gastronomia;5;5;5;5;5;3;5;5;5;5;5;2;5;1;5;5;1;3;1;5;5;5;5;3;4;3;5;5;3;4;5;4;2;3;5;5;5;1;5;3;2;5;3;4;4;5;2;5;3;5;5;3;3;3;5;5;3;4;5;4.225;3.909090909
12/04/2023 07:09;Sim;243633255;Gastronomia;5;4;3;2;5;4;5;5;4;4;2;2;5;2;2;4;1;4;4;5;5;5;5;4;3;4;4;3;4;3;5;5;4;2;4;3;3;2;5;4;5;5;2;3;3;5;3;5;3;3;5;4;5;4;3;4;5;4;5;3.925;4
12/04/2023 08:17;Sim;1645227599;Psicologia;5;5;4;5;3;5;4;3;2;4;4;2;4;3;4;3;4;4;4;1;4;2;3;4;3;3;3;4;3;5;4;5;3;5;4;3;3;4;3;4;1;4;4;3;2;2;3;3;4;4;4;4;3;4;3;4;3;3;4;3.475;3.636363636
12/04/2023 08:18;Sim;21445229851;Psicologia;4;4;4;4;4;3;4;3;4;4;2;2;4;2;4;3;3;4;4;3;4;3;3;4;3;3;3;4;3;3;4;4;4;4;4;3;3;2;4;4;2;4;3;4;3;4;4;2;3;5;4;3;3;4;4;3;3;3;4;3.45;3.454545455
12/04/2023 08:42;Sim;1645286839;psicologia;3;3;4;4;3;3;3;2;3;3;2;2;3;3;3;2;2;2;2;2;3;2;3;3;3;3;2;2;3;3;3;3;3;4;2;3;2;2;4;1;2;3;2;2;1;2;2;2;2;4;3;3;3;2;4;2;3;3;4;2.55;2.818181818
12/04/2023 08:50;Sim;25645264413;Pedagogia;3;4;4;4;4;3;4;3;4;5;3;3;4;3;3;3;3;3;2;3;4;2;4;2;3;3;3;4;3;4;4;3;3;3;3;3;3;4;4;4;1;5;3;3;4;4;4;4;3;4;3;4;3;3;4;3;3;3;5;3.5;3.272727273
12/04/2023 08:53;Sim;2503632855;nutrição;4;3;5;3;4;5;5;4;5;4;3;3;2;3;3;2;3;3;2;3;2;3;4;4;3;4;4;3;3;4;4;3;2;5;3;4;3;3;3;4;4;3;4;4;3;2;3;4;3;4;4;4;3;4;3;3;4;3;5;3.45;3.454545455
12/04/2023 08:53;Sim;2143625227;Odontologia;3;3;4;3;3;4;4;3;4;3;3;2;2;4;4;4;3;4;4;3;3;2;4;3;3;3;2;4;3;4;3;4;2;3;3;4;4;3;3;3;2;4;4;3;2;5;2;4;2;3;4;4;3;3;4;4;3;3;5;3.25;3.181818182
12/04/2023 08:53;Sim;25445246795;Biomedicina;5;4;4;4;4;2;4;4;4;2;3;2;4;4;2;3;2;4;2;1;4;2;2;4;1;2;4;5;3;3;5;3;3;3;3;4;3;1;5;4;4;5;2;4;2;3;1;3;1;2;4;5;3;4;3;4;3;3;5;3.225;3.181818182
12/04/2023 08:56;Sim;2143631853;Odontologia;5;4;2;5;4;5;5;4;5;4;3;3;4;2;3;3;1;3;2;2;4;1;4;4;3;4;4;4;3;4;4;3;3;4;4;2;4;2;3;4;2;4;4;4;2;4;3;4;2;2;5;3;3;3;3;5;4;3;2;3.5;3.636363636
12/04/2023 08:57;Sim;25045271989;Nutrição;5;3;4;5;3;4;4;3;5;4;3;3;3;3;3;2;2;3;4;2;3;3;3;3;3;2;3;2;3;5;5;4;3;5;4;2;3;2;4;4;2;5;2;3;2;4;3;2;4;4;4;3;3;2;4;3;4;2;4;3.275;3.272727273
12/04/2023 08:57;Sim;2143624921;Odontologia;5;5;5;2;5;5;5;4;5;5;4;4;3;2;3;4;4;5;3;5;5;5;5;4;4;4;5;5;4;4;5;4;4;4;3;5;3;2;4;3;2;5;2;3;4;4;2;5;3;3;4;5;3;4;5;4;5;3;5;4;4.363636364
12/04/2023 08:58;Sim;2143636673;Odontologia;5;4;4;5;5;3;4;5;5;4;4;5;5;1;1;4;1;4;3;4;4;4;5;5;4;4;5;4;4;4;4;4;4;4;5;4;5;2;5;3;4;5;2;4;5;4;4;5;4;5;5;5;4;4;2;4;5;3;2;4.25;4.272727273
12/04/2023 08:59;Sim;25445267527;Nutrição;5;4;4;3;4;5;5;4;5;4;3;4;3;3;2;4;2;4;3;4;4;4;4;NA;4;4;4;4;4;4;5;4;3;5;3;5;5;1;5;4;3;5;4;4;3;3;4;3;3;3;4;4;4;4;3;3;4;4;4;3.875;4
12/04/2023 09:00;Sim;25245241951;Ciência da Computação;4;4;4;5;3;2;3;4;4;4;3;3;4;4;3;3;3;4;3;4;4;3;3;4;4;4;3;3;4;4;3;4;4;3;3;3;2;1;2;2;4;3;1;2;1;3;3;3;3;4;4;4;3;4;2;4;4;4;3;3.2;3.636363636
12/04/2023 09:00;Sim;25445268867;Ciência da Computação;5;4;2;4;2;1;1;3;4;4;3;2;2;4;3;3;3;4;3;4;2;2;3;4;2;3;3;3;4;3;4;4;3;2;3;4;2;4;2;4;4;2;1;3;5;5;4;4;4;4;3;4;3;3;4;3;4;4;4;3.175;3.272727273
12/04/2023 09:00;Sim;2523631691;ciencia da computação;4;4;4;5;4;4;3;4;4;4;4;4;4;2;2;4;1;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;4;4;4;4;4;5;4;4;4;4;4;4;3;4;5;4;2;4;4
12/04/2023 09:01;Sim;25245241905;Ciência da Computação;5;3;4;3;4;3;3;2;3;3;3;4;5;3;2;3;2;4;3;3;4;3;3;4;3;4;3;4;4;5;4;4;4;4;5;4;4;4;4;3;4;4;2;3;2;2;3;3;2;4;4;5;3;4;4;4;5;2;5;3.45;3.818181818
12/04/2023 09:01;Sim;25645287019;Direito;5;5;5;5;5;1;5;3;5;5;4;4;4;4;1;3;1;5;1;4;5;5;5;5;5;4;5;3;5;5;5;5;4;5;4;5;5;1;5;5;2;3;3;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;4.425;4.636363636
12/04/2023 09:01;Sim;0;Nutrição;3;4;5;5;3;2;4;3;4;5;4;3;5;3;3;3;2;4;2;3;3;2;4;3;4;4;3;3;4;4;4;3;3;5;4;5;4;4;5;3;1;5;2;2;3;4;4;4;3;5;4;4;2;4;5;3;4;2;5;3.625;3.545454545
12/04/2023 09:01;Sim;25245230285;Ciencia da Computação;4;3;4;5;3;4;4;3;3;3;2;3;3;3;1;2;1;3;1;3;3;2;3;3;2;3;2;4;3;4;4;2;2;3;1;3;3;3;2;2;2;1;1;3;4;1;5;4;3;3;3;4;3;2;4;3;3;2;5;2.9;2.909090909
12/04/2023 09:01;Sim;25445265143;Ciências Da Computação;4;4;4;4;3;3;4;3;3;4;4;2;4;4;5;4;4;2;2;3;3;2;4;4;4;5;3;3;3;4;4;4;4;3;3;4;3;4;3;2;4;3;3;2;3;4;4;3;4;3;4;4;4;4;4;4;4;2;4;3.35;3.818181818
12/04/2023 09:01;Sim;2143623509;odontologia;5;5;3;5;4;1;1;NA;4;4;2;2;4;3;5;4;2;4;5;5;4;3;1;4;3;3;4;3;4;5;5;3;3;4;4;4;2;2;4;1;4;4;2;2;3;3;4;4;4;5;3;4;4;4;4;3;2;5;5;3.41025641;3.454545455
12/04/2023 09:02;Sim;25445255677;Ciências da Computação;5;2;5;2;4;4;5;5;4;2;5;5;3;3;1;4;2;4;2;3;5;4;4;4;4;2;4;3;4;2;5;4;4;2;2;2;5;3;3;2;3;4;2;3;3;4;4;2;4;3;4;5;4;2;4;3;4;2;5;3.525;3.636363636
12/04/2023 09:02;Sim;123621571;Direito;3;4;3;3;2;2;4;2;4;4;2;2;2;4;4;3;2;3;3;3;2;2;4;3;2;4;2;4;3;5;4;3;3;4;3;2;4;2;3;2;3;4;2;3;5;4;3;3;2;4;4;4;3;2;4;4;3;2;5;2.95;3.363636364
12/04/2023 09:02;Sim;103627589;Direito;4;4;4;4;4;3;3;4;4;5;4;3;5;3;4;4;3;4;3;3;3;2;4;4;4;2;4;4;3;2;3;3;3;4;2;4;4;3;5;3;5;5;5;3;5;2;4;4;5;3;4;5;2;3;4;3;5;3;3;3.725;3.272727273
12/04/2023 09:02;Sim;1645240745;Sistemas de Informação;5;5;2;2;3;2;5;3;2;5;3;3;3;3;3;3;2;4;2;4;3;2;5;3;2;3;3;4;3;3;4;4;3;4;3;2;5;2;2;3;3;5;4;4;2;4;2;5;3;3;4;3;3;2;4;4;3;3;4;3.25;3.363636364
12/04/2023 09:02;Sim;0;NA;NA;NA;NA;2;4;NA;2;3;4;NA;NA;NA;NA;2;2;NA;3;4;4;NA;NA;3;NA;4;3;4;NA;NA;NA;5;5;3;NA;NA;4;4;NA;NA;4;NA;2;4;NA;4;4;NA;3;NA;NA;4;4;NA;NA;NA;NA;NA;NA;3;NA;3.529411765;4
12/04/2023 09:02;Sim;25445236449;Ciência da computação;4;4;4;3;3;4;2;5;4;4;3;3;4;4;2;4;4;4;3;4;4;3;4;4;2;3;5;4;4;2;2;2;4;4;3;3;2;2;2;2;2;3;1;2;5;3;5;5;3;4;5;4;4;4;3;4;4;4;5;3.5;3.272727273
12/04/2023 09:03;Sim;123625135;Direito, Una Betim;5;5;4;4;4;4;4;4;4;4;4;4;3;3;3;3;2;4;2;4;4;3;4;3;3;4;4;4;3;4;4;4;3;5;4;4;4;2;5;3;2;5;4;4;3;4;4;4;3;4;3;4;4;4;4;3;4;3;5;3.825;3.636363636
12/04/2023 09:03;Sim;203624029;Direito;5;4;3;3;4;3;5;4;3;5;3;2;4;3;5;2;1;4;1;3;3;2;4;4;4;4;2;3;3;5;3;4;2;5;4;3;3;2;4;2;2;5;4;3;1;3;4;3;4;5;3;2;2;3;4;3;4;2;3;3.275;3.454545455
12/04/2023 09:03;Sim;583622741;Direito;4;4;3;4;3;3;3;3;4;3;1;3;3;3;3;4;4;2;4;3;4;3;3;2;1;3;2;2;3;3;3;3;3;3;4;4;3;3;4;1;2;4;4;3;1;3;4;3;2;4;3;2;3;4;3;3;2;2;5;3.075;2.545454545
12/04/2023 09:03;Sim;2143622889;Odontologia;5;5;4;5;4;5;4;4;4;5;3;2;3;4;5;3;4;5;3;3;4;3;4;4;3;5;4;4;4;5;4;4;4;4;4;3;3;3;4;3;4;4;3;4;3;5;3;4;3;3;5;5;3;4;4;5;5;4;5;3.85;4.090909091
12/04/2023 09:03;Sim;645257319;Segurança da Informação;5;3;4;4;4;5;3;5;4;3;3;4;5;2;5;3;1;4;2;3;4;5;5;4;2;2;4;3;4;3;5;4;4;3;3;3;2;4;2;3;4;5;1;4;3;5;2;3;3;4;4;5;5;4;2;4;4;4;3;3.7;3.636363636
